Density,Numerical_integration,Saddle_point,NNLO
11.350000000000001,(1.244034594258051e-05-837573764.3105315j),,1.8642700164623737e-05
11.4,(1.1911763914798621e-05-930351438.8586315j),,1.7950944037451672e-05
11.450000000000001,(1.1405981082968829e-05-1033408491.5042905j),,1.7282660471547277e-05
11.5,(1.0921998326721893e-05-1147884067.9876149j),,1.663723614919629e-05
11.55,(1.045886122706696e-05-1275043575.1357157j),,1.601405702000325e-05
11.600000000000001,(1.0015658035266742e-05-1416292677.6451924j),,1.541251030500663e-05
11.65,(9.591517737527551e-06-1573192846.7059047j),,1.4831986264090409e-05
11.700000000000001,(9.18560821103049e-06-1747478632.5430808j),,1.4271879748819988e-05
11.75,(8.797134467064884e-06-1941076852.036546j),,1.3731591560895392e-05
11.8,(8.425336977248078e-06-2156127903.775491j),,1.3210529634646116e-05
11.850000000000001,(8.069490079032711e-06-2395009446.457555j),,1.270811006037814e-05
11.9,(7.728900456906338e-06-2660362702.7031555j),,1.2223757963905614e-05
11.950000000000001,(7.4029056958874e-06-2955121679.421117j),,1.1756908256251942e-05
12.0,(7.090872904112975e-06-3282545628.148102j),,1.1307006266271244e-05
12.05,(6.792197401495089e-06-3646255104.654575j),,1.0873508267813707e-05
12.100000000000001,(6.506301471603844e-06-4050272026.956311j),,1.0455881912028471e-05
12.15,(6.232633174104873e-06-4499064175.138276j),,1.0053606574455842e-05
12.200000000000001,(5.97066521524977e-06-4997594625.574222j),,9.666173625699118e-06
12.25,(5.719893874080445e-06-5551376666.75643j),,9.293086633679875e-06
12.3,(5.479837982170515e-06-6166534804.642723j),,8.933861504760981e-06
12.350000000000001,(5.250037954885906e-06-6849872532.848572j),,8.588026570363648e-06
12.4,(5.030054872303903e-06-7608947617.91592j),,8.255122625104234e-06
12.450000000000001,(4.819469608087006e-06-8452155733.098515j),,7.93470292192673e-06
12.5,(4.617882004764553e-06-9388823366.543356j),,7.626333129205131e-06
12.55,(4.424910094034174e-06-10429311032.441814j),,7.329591254330554e-06
12.600000000000001,(4.2401893608542e-06-11585127927.806515j),,7.044067537879382e-06
12.65,(4.0633720502631985e-06-12869059304.2709j),,6.7693643220750834e-06
12.700000000000001,(3.894126516029711e-06-14295307965.105186j),,6.505095896906763e-06
12.75,(3.7321366104098045e-06-15879651454.056532j),,6.250888326948145e-06
12.8,(3.577101114470463e-06-17639616676.391476j),,6.006379261628338e-06
12.850000000000001,(3.428733208626441e-06-19594673885.556225j),,5.7712177314400175e-06
12.9,(3.286759983237669e-06-21766452183.329777j),,5.545063932326958e-06
12.950000000000001,(3.1509219893259127e-06-24178978919.588474j),,5.3275890002713465e-06
